id,timeStamp,location,followers,friends,ntweets
7448,536,0,13292,304,9753
38619,397,158,1328,604,2282
39690,13,388,325,356,448
39849,326,391,233,341,11278
39120,13,0,626,1563,979
38062,397,487,332210,264,17346
39008,523,738,528,1996,3606
38727,16,0,49,141,77
39682,1,813,21,35,23
39408,1,914,73703,78187,1535
38070,370,782,28464,381,1987
38967,17,725,70,451,741
39709,416,874,672,832,6247
39086,510,859,1099,245,418
39482,5,0,30,74,79
37916,512,327,20144,341,17909
37707,17,776,312,84,55
37904,254,487,351888,237,9989
39149,592,0,65,389,771
39555,344,776,2908,401,1739
38138,453,0,249,3,1257
38744,490,979,754,252,12974
38137,556,0,1485,1030,4790
38331,2,367,54,318,44
39481,19,323,31,74,9
38673,483,903,437,393,14979
38786,19,487,15,44,222
38312,574,774,360,383,8354
38737,521,774,117,418,748
39848,474,0,104,170,118
38883,468,92,209,333,1147
6058,288,467,212,192,1497
39252,587,0,157,315,7027
39846,526,1059,334,330,15752
38221,563,630,114,176,8974
39360,447,0,28,161,139
39844,438,877,72,718,410
39826,516,758,364,363,35006
39819,494,750,18,72,1776
39474,286,614,96,353,1935
39479,560,0,216,689,10351
39818,20,452,172,147,1849
39081,287,172,531,641,4491
39816,449,0,59,455,102
38880,515,492,2225,235,35464
39407,14,0,12,110,5
38879,403,482,405,622,81861
38570,3,0,229,152,3069
39815,16,129,370,33,1026
37759,11,0,151,29,4
39812,283,480,5298,921,7418
38869,555,1013,175,200,9754
38750,2,1100,80,167,154
39411,264,451,684,1993,1909
37843,354,0,633,324,43
37695,478,847,133,98,140
38135,7,184,26,52,24
39437,1,565,119,162,608
38176,272,707,200,663,3774
37723,541,69,270,135,417
38481,585,145,480,257,15585
39410,407,518,136,133,631
38662,430,815,171,189,13858
39722,513,492,186,154,5019
37775,519,776,28228,8,12455
38672,588,247,95,495,1022
38134,4,0,23,163,218
38286,302,1131,170,1043,988
38832,531,342,741,1851,17253
39808,592,1078,60,154,216
39807,20,652,57,115,1339
38876,590,906,584,1224,1842
38257,11,444,404,513,161
38569,404,487,384,1050,197
38874,6,1119,479,1731,6504
39806,15,854,6194,4401,1961
39004,2,827,44,95,823
38362,352,1047,49,301,112
39457,424,1042,435,423,16879
38133,577,715,41,151,1393
38132,11,340,100,231,2382
39805,558,35,26,191,21
39804,349,557,233,255,3693
38131,13,88,597,1186,529
38068,579,0,172322,550,12332
38130,1,0,14,110,18
39802,412,444,1006,1143,65
39801,471,162,198,1321,2645
39800,570,778,821,752,10215
39300,6,643,35,101,178
38129,314,0,2272,554,23487
38361,362,1001,357,353,4990
39799,12,662,104,206,4234
38966,11,0,70,44,455
38589,445,474,740,1881,637
39798,19,40,26,140,149
39797,2,1126,24,35,573
39552,493,150,72,85,1228
39298,386,259,261,432,15302
38128,432,246,1078,788,47798
39054,472,1118,108,272,5958
39554,440,578,404,415,19122
39470,319,1073,129,242,1131
38360,317,366,53148,47544,908
39603,314,77,270,392,920
39435,510,1066,270,555,6918
1212,584,0,114,282,1171
39326,0,628,11,22,12
38359,546,270,28848,16448,36878
37729,300,776,1432,369,5316
37739,486,779,1012,954,1518
5754,543,108,909,247,7299
38873,7,872,237,137,144
